feature,mean_importance
Age Group,-5.551115123125783e-17
Ethnicity,-5.551115123125783e-17
Abortion Edit Indicator,-4.4408920985006264e-17
Race,-4.4408920985006264e-17
CCS Procedure Code,-4.4408920985006264e-17
Health Service Area,-3.3306690738754695e-17
Hospital County,-3.3306690738754695e-17
Payment Typology 3,-3.3306690738754695e-17
Facility Name,-3.3306690738754695e-17
Payment Typology 2,-3.3306690738754695e-17
APR Risk of Mortality,-3.3306690738754695e-17
Gender,-2.2204460492503132e-17
Payment Typology 1,-2.2204460492503132e-17
CCS Procedure Description,-1.1102230246251566e-17
CCS Diagnosis Description,8.121601739418116e-05
Birth Weight,8.948972833744406e-05
Operating Certificate Number,0.00011080650297209393
APR DRG Description,0.0003484582892326782
Zip Code - 3 digits,0.00037599401273342715
Facility Id,0.0004207241948885443
APR MDC Description,0.0005727868595336583
Patient Disposition,0.0019134417441370676
APR Severity of Illness Description,0.002287395267808301
Type of Admission,0.005844420707992704
Emergency Department Indicator,0.007823156466881809
APR MDC Code,0.010160297905190208
APR Severity of Illness Code,0.012227492740847324
APR DRG Code,0.01812157996552921
Total Charges,0.0299329723036027
CCS Diagnosis Code,0.05464576281838666
APR Medical Surgical Description,0.0731676188012059
Total Costs,0.9448451169822117
