feature,mean_importance
Payment Typology 3,-5.4710105373168005e-05
Race,-2.9610474681274203e-05
APR Severity of Illness Description,0.00023456530913252283
Payment Typology 2,0.000259345998205196
Ethnicity,0.000530381120651452
Gender,0.0005749793153459915
Abortion Edit Indicator,0.0006355390466588229
Payment Typology 1,0.0008011671468339254
Birth Weight,0.001388499846240343
APR MDC Code,0.002627395984741271
Age Group,0.0038202581932456512
APR Risk of Mortality,0.005289932546102577
Type of Admission,0.00609964450836113
CCS Diagnosis Description,0.006758632008765891
CCS Procedure Description,0.00859270129106095
APR DRG Description,0.009109156474163188
Facility Id,0.011581099853963528
Zip Code - 3 digits,0.012186304950622794
Hospital County,0.01291828224524182
Health Service Area,0.012982725983304721
APR MDC Description,0.013394413670527943
CCS Procedure Code,0.014158301711547966
APR Severity of Illness Code,0.01610962154263918
Patient Disposition,0.016761388369458695
Emergency Department Indicator,0.019516947355449336
Facility Name,0.02804284218975702
APR DRG Code,0.02909133509512211
Operating Certificate Number,0.03582150790216336
CCS Diagnosis Code,0.05959481864200511
APR Medical Surgical Description,0.09935481065293021
Total Charges,0.48509954983734493
Total Costs,0.6066921402553962
